county_name,state,county_code,deaths,population,crude_rate
Shelby,IA,19165,63,11430,551.2
Sioux,IA,19167,108,35043,308.2
Story,IA,19169,253,98237,257.5
Tama,IA,19171,83,16801,494.0
Taylor,IA,19173,28,6092,459.6
Union,IA,19175,59,12157,485.3
Van Buren,IA,19177,40,7069,565.9
Wapello,IA,19179,210,34985,600.3
Warren,IA,19181,204,52265,390.3
Washington,IA,19183,106,21992,482.0
Wayne,IA,19185,34,6415,530.0
Webster,IA,19187,182,35934,506.5
Winnebago,IA,19189,42,10277,408.7
Winneshiek,IA,19191,81,19862,407.8
Woodbury,IA,19193,421,103138,408.2
Worth,IA,19195,39,7359,530.0
Wright,IA,19197,77,12416,620.2
Allen,KS,20001,95,12399,766.2
Anderson,KS,20003,51,7949,641.6
Atchison,KS,20005,66,16015,412.1
Barber,KS,20007,37,4358,849.0
Barton,KS,20009,136,25658,530.0
Bourbon,KS,20011,79,14435,547.3
Brown,KS,20013,58,9482,611.7
Butler,KS,20015,326,66992,486.6
Chase,KS,20017,19,2586,Unreliable
Chautauqua,KS,20019,21,3230,650.2
Cherokee,KS,20021,119,19681,604.6
Cheyenne,KS,20023,14,2600,Unreliable
Clay,KS,20027,48,8025,598.1
Cloud,KS,20029,64,8642,740.6
Coffey,KS,20031,58,8158,711.0
Comanche,KS,20033,11,1690,Unreliable
Cowley,KS,20035,181,34628,522.7
Crawford,KS,20037,208,38730,537.1
Decatur,KS,20039,16,2776,Unreliable
Dickinson,KS,20041,124,18266,678.9
Doniphan,KS,20043,34,7496,453.6
Douglas,KS,20045,329,122530,268.5
Edwards,KS,20047,22,2750,800.0
Elk,KS,20049,18,2507,Unreliable
Ellis,KS,20051,116,28671,404.6
Ellsworth,KS,20053,33,6034,546.9
Finney,KS,20055,92,35917,256.1
Ford,KS,20057,111,33094,335.4
Franklin,KS,20059,133,25703,517.4
Geary,KS,20061,109,32218,338.3
Gove,KS,20063,22,2621,839.4
Graham,KS,20065,22,2389,920.9
Grant,KS,20067,21,7077,296.7
Gray,KS,20069,16,5954,Unreliable
Greeley,KS,20071,10,1196,Unreliable
Greenwood,KS,20073,53,5868,903.2
Hamilton,KS,20075,10,2425,Unreliable
Harper,KS,20077,36,5336,674.7
Harvey,KS,20079,185,34291,539.5
Haskell,KS,20081,23,3923,586.3
Hodgeman,KS,20083,12,1779,Unreliable
Jackson,KS,20085,78,13171,592.2
Jefferson,KS,20087,96,19032,504.4
Jewell,KS,20089,11,2833,Unreliable
Johnson,KS,20091,1934,607220,318.5
Kearny,KS,20093,24,3745,640.9
Kingman,KS,20095,87,6974,1247.5
