county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Jefferson County,GA,13163,103,15267,674.7,2022,NA
Jenkins County,GA,13165,55,8746,628.9,2022,NA
Johnson County,GA,13167,51,9667,527.6,2022,NA
Jones County,GA,13169,117,28787,406.4,2022,NA
Lamar County,GA,13171,86,19261,446.5,2022,NA
Lanier County,GA,13173,46,10737,428.4,2022,NA
Laurens County,GA,13175,258,47512,543.0,2022,NA
Lee County,GA,13177,126,30234,416.7,2022,NA
Liberty County,GA,13179,177,63004,280.9,2022,NA
Lincoln County,GA,13181,36,8031,448.3,2022,NA
Long County,GA,13183,50,20171,247.9,2022,NA
Lowndes County,GA,13185,459,118268,388.1,2022,NA
Lumpkin County,GA,13187,139,34186,406.6,2022,NA
McDuffie County,GA,13189,119,21162,562.3,2022,NA
McIntosh County,GA,13191,61,14387,424.0,2022,NA
Macon County,GA,13193,61,12712,479.9,2022,NA
Madison County,GA,13195,154,30457,505.6,2022,NA
Marion County,GA,13197,39,8516,458.0,2022,NA
Meriwether County,GA,13199,122,21164,576.5,2022,NA
Miller County,GA,13201,38,5622,675.9,2022,NA
Mitchell County,GA,13205,118,21602,546.2,2022,NA
Monroe County,GA,13207,149,28042,531.3,2022,NA
Montgomery County,GA,13209,37,9012,410.6,2022,NA
Morgan County,GA,13211,80,19636,407.4,2022,NA
Murray County,GA,13213,200,40032,499.6,2022,NA
Muscogee County,GA,13215,887,196442,451.5,2022,NA
Newton County,GA,13217,403,113295,355.7,2022,NA
Oconee County,GA,13219,139,41124,338.0,2022,NA
Oglethorpe County,GA,13221,73,15383,474.5,2022,NA
Paulding County,GA,13223,512,173359,295.3,2022,NA
Peach County,GA,13225,140,27950,500.9,2022,NA
Pickens County,GA,13227,208,33127,627.9,2022,NA
Pierce County,GA,13229,114,19522,584.0,2022,NA
Pike County,GA,13231,108,19121,564.8,2022,NA
Polk County,GA,13233,194,42840,452.8,2022,NA
Pulaski County,GA,13235,53,11191,473.6,2022,NA
Putnam County,GA,13237,128,22520,568.4,2022,NA
Quitman County,GA,13239,18,2271,Unreliable,2022,NA
Rabun County,GA,13241,90,17273,521.0,2022,NA
Randolph County,GA,13243,32,6682,478.9,2022,NA
Richmond County,GA,13245,921,202079,455.8,2022,NA
Rockdale County,GA,13247,326,90939,358.5,2022,NA
Schley County,GA,13249,16,5196,Unreliable,2022,NA
Screven County,GA,13251,81,14012,578.1,2022,NA
Seminole County,GA,13253,57,8060,707.2,2022,NA
Spalding County,GA,13255,361,67414,535.5,2022,NA
Stephens County,GA,13257,174,26107,666.5,2022,NA
Stewart County,GA,13259,33,6689,493.3,2022,NA
Sumter County,GA,13261,150,29282,512.3,2022,NA
Talbot County,GA,13263,33,6143,537.2,2022,NA
Taliaferro County,GA,13265,12,1562,Unreliable,2022,NA
